Año_de_Fecha;cod_prov;Día_Fecha;Mes_Fecha;Máx_casos_acumulados;Sum_casos_acumulados
2020;Santo Domingo de los Tsáchilas;19;marzo;1;
2020;Santo Domingo de los Tsáchilas;19;marzo;1;1
2020;Santo Domingo de los Tsáchilas;20;marzo;1;
2020;Santo Domingo de los Tsáchilas;20;marzo;1;1
2020;Santo Domingo de los Tsáchilas;21;marzo;4;
2020;Santo Domingo de los Tsáchilas;21;marzo;4;4
2020;Santo Domingo de los Tsáchilas;22;marzo;4;
2020;Santo Domingo de los Tsáchilas;22;marzo;4;4
2020;Santo Domingo de los Tsáchilas;23;marzo;7;
2020;Santo Domingo de los Tsáchilas;23;marzo;7;7
2020;Santo Domingo de los Tsáchilas;24;marzo;7;
2020;Santo Domingo de los Tsáchilas;24;marzo;7;7
2020;Santo Domingo de los Tsáchilas;25;marzo;7;
2020;Santo Domingo de los Tsáchilas;25;marzo;7;7
2020;Santo Domingo de los Tsáchilas;26;marzo;8;
2020;Santo Domingo de los Tsáchilas;26;marzo;8;8
2020;Santo Domingo de los Tsáchilas;27;marzo;9;
2020;Santo Domingo de los Tsáchilas;27;marzo;9;9
2020;Santo Domingo de los Tsáchilas;28;marzo;15;
2020;Santo Domingo de los Tsáchilas;28;marzo;15;15
2020;Santo Domingo de los Tsáchilas;29;marzo;15;
2020;Santo Domingo de los Tsáchilas;29;marzo;15;15
2020;Santo Domingo de los Tsáchilas;30;marzo;15;
2020;Santo Domingo de los Tsáchilas;30;marzo;15;15
2020;Santo Domingo de los Tsáchilas;31;marzo;18;
2020;Santo Domingo de los Tsáchilas;31;marzo;18;18
2020;Santo Domingo de los Tsáchilas;1;abril;19;
2020;Santo Domingo de los Tsáchilas;1;abril;19;19
2020;Santo Domingo de los Tsáchilas;2;abril;24;
2020;Santo Domingo de los Tsáchilas;2;abril;24;24
2020;Santo Domingo de los Tsáchilas;3;abril;26;
2020;Santo Domingo de los Tsáchilas;3;abril;26;26
2020;Santo Domingo de los Tsáchilas;4;abril;31;
2020;Santo Domingo de los Tsáchilas;4;abril;31;31
2020;Santo Domingo de los Tsáchilas;5;abril;34;
2020;Santo Domingo de los Tsáchilas;5;abril;34;34
2020;Santo Domingo de los Tsáchilas;6;abril;36;
2020;Santo Domingo de los Tsáchilas;6;abril;36;36
2020;Santo Domingo de los Tsáchilas;7;abril;43;
2020;Santo Domingo de los Tsáchilas;7;abril;43;43
2020;Santo Domingo de los Tsáchilas;8;abril;44;
2020;Santo Domingo de los Tsáchilas;8;abril;44;44
2020;Santo Domingo de los Tsáchilas;9;abril;46;
2020;Santo Domingo de los Tsáchilas;9;abril;46;46
2020;Santo Domingo de los Tsáchilas;10;abril;51;
2020;Santo Domingo de los Tsáchilas;10;abril;51;51
2020;Santo Domingo de los Tsáchilas;11;abril;55;
2020;Santo Domingo de los Tsáchilas;11;abril;55;55
2020;Santo Domingo de los Tsáchilas;12;abril;60;
2020;Santo Domingo de los Tsáchilas;12;abril;60;60
2020;Santo Domingo de los Tsáchilas;13;abril;65;
2020;Santo Domingo de los Tsáchilas;13;abril;65;65
2020;Santo Domingo de los Tsáchilas;14;abril;66;
2020;Santo Domingo de los Tsáchilas;14;abril;66;66
2020;Santo Domingo de los Tsáchilas;15;abril;67;
2020;Santo Domingo de los Tsáchilas;15;abril;67;67
2020;Santo Domingo de los Tsáchilas;16;abril;68;
2020;Santo Domingo de los Tsáchilas;16;abril;68;68
2020;Santo Domingo de los Tsáchilas;17;abril;76;
2020;Santo Domingo de los Tsáchilas;17;abril;76;76
2020;Santo Domingo de los Tsáchilas;18;abril;79;
2020;Santo Domingo de los Tsáchilas;18;abril;79;79
2020;Santo Domingo de los Tsáchilas;19;abril;81;
2020;Santo Domingo de los Tsáchilas;19;abril;81;81
2020;Santo Domingo de los Tsáchilas;20;abril;94;
2020;Santo Domingo de los Tsáchilas;20;abril;94;94
2020;Santo Domingo de los Tsáchilas;21;abril;94;
2020;Santo Domingo de los Tsáchilas;21;abril;94;94
2020;Santo Domingo de los Tsáchilas;22;abril;97;
2020;Santo Domingo de los Tsáchilas;22;abril;97;97
2020;Santo Domingo de los Tsáchilas;23;abril;123;
2020;Santo Domingo de los Tsáchilas;23;abril;123;123
2020;Santo Domingo de los Tsáchilas;25;abril;123;
2020;Santo Domingo de los Tsáchilas;25;abril;123;123
2020;Santo Domingo de los Tsáchilas;26;abril;123;
2020;Santo Domingo de los Tsáchilas;26;abril;123;123
2020;Santo Domingo de los Tsáchilas;27;abril;138;
2020;Santo Domingo de los Tsáchilas;27;abril;138;138
2020;Santo Domingo de los Tsáchilas;28;abril;179;
2020;Santo Domingo de los Tsáchilas;28;abril;179;179
2020;Santo Domingo de los Tsáchilas;29;abril;180;
2020;Santo Domingo de los Tsáchilas;29;abril;180;180
2020;Santo Domingo de los Tsáchilas;24;abril;197;
2020;Santo Domingo de los Tsáchilas;24;abril;197;197
2020;Santo Domingo de los Tsáchilas;30;abril;202;
2020;Santo Domingo de los Tsáchilas;30;abril;202;202
2020;Santo Domingo de los Tsáchilas;1;mayo;244;
2020;Santo Domingo de los Tsáchilas;1;mayo;244;244
2020;Santo Domingo de los Tsáchilas;2;mayo;285;
2020;Santo Domingo de los Tsáchilas;2;mayo;285;285
2020;Santo Domingo de los Tsáchilas;4;mayo;313;
2020;Santo Domingo de los Tsáchilas;4;mayo;313;313
2020;Santo Domingo de los Tsáchilas;3;mayo;324;
2020;Santo Domingo de los Tsáchilas;3;mayo;324;324
2020;Santo Domingo de los Tsáchilas;6;mayo;331;
2020;Santo Domingo de los Tsáchilas;6;mayo;331;331
2020;Santo Domingo de los Tsáchilas;7;mayo;332;
2020;Santo Domingo de los Tsáchilas;7;mayo;332;332
2020;Santo Domingo de los Tsáchilas;8;mayo;353;
2020;Santo Domingo de los Tsáchilas;8;mayo;353;353
2020;Santo Domingo de los Tsáchilas;9;mayo;379;
2020;Santo Domingo de los Tsáchilas;9;mayo;379;379
2020;Santo Domingo de los Tsáchilas;11;mayo;385;
2020;Santo Domingo de los Tsáchilas;11;mayo;385;385
2020;Santo Domingo de los Tsáchilas;10;mayo;389;
2020;Santo Domingo de los Tsáchilas;10;mayo;389;389
2020;Santo Domingo de los Tsáchilas;12;mayo;488;
2020;Santo Domingo de los Tsáchilas;12;mayo;488;488
2020;Santo Domingo de los Tsáchilas;13;mayo;488;
2020;Santo Domingo de los Tsáchilas;13;mayo;488;488
2020;Santo Domingo de los Tsáchilas;14;mayo;488;
2020;Santo Domingo de los Tsáchilas;14;mayo;488;488
2020;Santo Domingo de los Tsáchilas;15;mayo;553;
2020;Santo Domingo de los Tsáchilas;15;mayo;553;553
2020;Santo Domingo de los Tsáchilas;16;mayo;558;
2020;Santo Domingo de los Tsáchilas;16;mayo;558;558
2020;Santo Domingo de los Tsáchilas;17;mayo;576;
2020;Santo Domingo de los Tsáchilas;17;mayo;576;576
2020;Santo Domingo de los Tsáchilas;18;mayo;588;
2020;Santo Domingo de los Tsáchilas;18;mayo;588;588
2020;Santo Domingo de los Tsáchilas;19;mayo;626;
2020;Santo Domingo de los Tsáchilas;19;mayo;626;626
2020;Santo Domingo de los Tsáchilas;20;mayo;656;
2020;Santo Domingo de los Tsáchilas;20;mayo;656;656
2020;Santo Domingo de los Tsáchilas;21;mayo;699;
2020;Santo Domingo de los Tsáchilas;21;mayo;699;699
2020;Santo Domingo de los Tsáchilas;22;mayo;745;
